This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)    total commits    LOC added by me    LOC deleted by me
          \                  \                  \__________________  \
7468a5181057b17ee236f7c42fab94ebf7c13a52eb4d4251d50b287d530358e3 51 706 216
0a6e4ce4fa5b3ad310f7f0746fe8af27eed60b70729df3bf13f5545f6f6a9b8a 46 518 124
9f5576ebed479d822c23b286e9aa4e12024435151472e3a45510d0c997e3de7b 8 43 26
1c470c80c0c0b6fe0d0944381baef3b2a523bd2839bded355c797a8e917223d6 36 439 52
8fccdfad0ca51b2b04a4253ab8c27d25d12a8d2437aa836df3bd69bef2b96562 8 91 17
db85b068fdd077334feba7b31d1c192bce04e20dbf02a9c4d2737b51493563fb 3 683 5
79b78748b431423bcca1d9f9a7fa2ff83b6ac2e5591819075d05583d0c4f3b05 7 1926 116
484e37f97bc8156bea52a8e5d51c129fd6b4768ae6a1429105423770e8af6188 7 40 8
1e9f7860a1c2305da895e0393a3bd89de4a49254f6efbef245d3a83d221a9a4c 151 374 13
7b1abd4ba16add01aedb4830df0299fe94f0d7072dc428f7ceada2cde51ac345 2 310 21
e6b4e8a451d0fef7f1cd1956eccb80769df3e157afcba136dc27b1b5cc95be63 2 37 0
88fe09f45bf0954a1002d138e564cfc06bd9b8297e37b632b55c310b0736ec2d 9 766 26
dfd73bc4cb19b345a886fbf0d62f54c6dc7e6213a12316697a02046d8218de0b 95 0 0
10634039e3ab1b4007b52f7a55d7d01eaeaa67cafa355b4ae75695e9b1bd5b7f 4 912 56
aab953347232328cc3c980af53c30269e9327ab5f69b41aaa1390039d1b9a28f 37 65 2
09a0d9f3359c18c3dfcaf38583de6319106aadc54a9f70c61e97830d4de9fd12 32 25 19
